,,,,,,,
,,,,,,,
용인대 인성관 학생식당,,,,,,,
"정
성 
가
득
한
점 심",,월요일,화요일,수요일,목요일,금요일,
,,3월 27일,3월 28일,3월 29일,3월 30일,3월 31일,
,"C코너

(4.0)",백미밥,백미밥,백미밥,백미밥,백미밥,
,,,,,,,
,,돈육김치찌개,시골국&소면사리,뼈없는감자탕,육개장,왕만두국,
,,(돈육:국내산/,(우사골:호주산),(돈육:국내산),(우육:호주산),(돈육:국내산),
,,두부대두:수입산),부찬,부찬,부찬,부찬,
,,부찬,,,,,
,,배추김치,배추김치,배추김치,배추김치,배추김치,
,"B코너

(4.5)",백미밥,백미밥,백미밥,김치볶음밥,나물비빔밥&계란후라이,
,,짬뽕국물,무채국,매콤볶음우동,우동국물,팽이된장국,
,,생선까스&타르타르소스,함박스테이크&데리야끼,고로케&케찹,떡볶이,핫바,
,,메쉬드포테이트,"(돈육,계육:국내산)",(오징어:수입산),김말이튀김,"(돈육,계육: 국내산)",
,,단무지,야채샐러드&오렌지드레싱,미역장국,,해초샐러드,
,,,,짜사이무침,,, 
,,배추김치,배추김치,배추김치,배추김치,배추김치,
,"A코너

(5.0)",짜장라이스,새우볶음밥,오삼불고기덮밥,가츠동덮밥,,
,,(돈육:국내산),,(돈육:국내산/오징어:수입산),(돈육:국내산),,
,,짬뽕국물,무채국,미역장국,우동국물,,
,,만두튀김&간장,미니돈까스&케찹,,,금요일 A코너 미운영,
,,(돈육:국내산),어묵야채볶음,춘권튀김,쫄면야채무침,,
,,단무지,야채샐러드&오렌지드레싱,야채샐러드&드레싱,단무지,,
,,요구르트,,,,,
,,배추김치,배추김치,배추김치,배추김치,,
,라면,즉석 라면 + 밥/김치,즉석 라면 + 밥/김치,즉석 라면 + 밥/김치,즉석 라면 + 밥/김치,즉석 라면 + 밥/김치,
,,,,,,,
"원산지
표기",,"쌀-국내산/잡곡-국내산/배추김치(배추:중국산,고춧가루:중국산) ",,,,,
,,,,,,,
,,"* 위 식단은 식재료 수급사항에 따라 변동될 수 있음을 양해바랍니다.
",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
