,,,,,,
,,,,,,
용인대학교 생활관 학생식당,,,,,,
,,Mon,Tue,Wed,Thu,Fri
,,3월 27일,3월 28일,3월 29일,3월 30일,3월 31일
조식,,백미밥,백미밥,백미밥,백미밥,백미밥
,,,,,,
,,얼갈이 된장국,콩나물국,뼈없는감자탕,육개장,김치수제비국
,,,,(돈육:국내산),(소고기:호주산),
,,제육볶음,고등어구이,계란찜,치킨너겟&소스,돼지고기버섯볶음
,,(돈육:국내산),(고등어:수입산),(돈육:국내산),(계육:국내산),(돈육:국내산)
,,어묵잡채,맛살야채볶음,분홍소세지전,고구마샐러드,연근조림
,,상추겉절이,도시락김,(닭고기:국내산),무말랭이무침,숙주나물무침
,,,,양파짱아찌,,
,,,,,,
,,포기김치,포기김치,포기김치,포기김치,포기김치
중식,,들깨미역국,백미밥,잔치국수,가츠동덮밥,야채볶음밥
,,,,,(돈육:국내산),
,,양념떡닭강정,유부된장국,추가밥,추가밥,돈까스&소스
,,"(계육:브라질산,국내산)",,,우동국물,
,,비엔나브로콜리볶음,닭살야채볶음,핫도그&케찹,쫄면야채무침,(돈육:국내산)
,,오이피클,"(계육:국내산,브라질산)","(돈육,계육:국내산)",,
,,,참치야채전,어묵야채볶음,단무지,감자채볶음
,,,도토리묵&양념장,(연육:중국산),,샐러드&오렌지드레싱
,,포기김치,,야채샐러드&딸기드레싱,포기김치,
,,,,,,
,,-,포기김치,포기김치,,포기김치
석식,,백미밥,짜장밥,백미밥,한그릇사골곰탕,백미밥
,,,,,&당면사리,
,,참치김치찌개,짬뽕국물,오삼불고기,백미밥,매콤콩나물국
,,,,"(돈육:국내산,오징어:수입산)",(우사골:호주산),함박마요덮밥
,,동그랑땡전,탕수육&소스,미역국,손만두찜&초간장,
,,"(돈육,계육:국내산)",햄야채볶음,고구마맛탕,(돈육:국내산),콘샐러드
,,마늘쫑고추장무침,,양배추찜&쌈장,부추겉절이,깻잎지
,,,단무지,,,
,,콩나물무침,요구르트,포기김치,,포기김치
,,,,,,
,,포기김치,포기김치,-,포기김치,-
<원산지 표기>,,,,,,
"쌀-국내산/잡곡-국내산/배추김치(배추:중국산,고춧가루:중국산) 
",,,,,,
"* 상기 식단은 식재료 수급사항에 따라 변동될 수 있음을 양해바랍니다.
",,,,,,
,,,,,,
